"mutant"	"Activity"
"Ala"	-0.278097960834124
"Arg"	-0.446233477826602
"Asn"	-0.461315250398448
"Asp"	-0.663848329179577
"Cys"	-0.157795406706712
"Gln"	-0.560646866004549
"Glu"	-0.665885181945665
"Gly"	-0.398626267774813
"His"	-0.356733277775942
"Ile"	-0.335704815783227
"Leu"	-0.433298170066642
"Lys"	-0.602569529037869
"Met"	-0.214904857014156
"Phe"	-0.439657563545804
"Pro"	-0.845713811639953
"Ser"	-0.32785910509068
"Ter"	-1.59008315935867
"Thr"	-0.291691135994688
"Trp"	-0.279128597363743
"Tyr"	-0.325041352643062
"Val"	-0.346647668718737
